KEY,EN,DE,RU,KA,FR,ES
add_expense.back,Back,Zurück,Назад,უკან,Retour,Atrás
add_expense.next,Next,Weiter,Далее,შემდეგი,Suivant,Siguiente
add_expense.save_expense,Save expense,Ausgabe speichern,Сохранить расход,ხარჯის შენახვა,Enregistrer la dépense,Guardar gasto
add_expense.save_income,Save income,Einnahme speichern,Сохранить доход,შემოსავლის შენახვა,Enregistrer le revenu,Guardar ingreso
add_expense.saving,Saving…,Speichern…,Сохраняю…,ინახება…,Enregistrement…,Guardando…
add_expense.income_recorded,Income recorded,Einnahme gespeichert,Доход записан,შემოსავალი ჩაიწერა,Revenu enregistré,Ingreso registrado
add_expense.expense_saved,Personal expense saved,Persönliche Ausgabe gespeichert,Личный расход сохранён,პირადი ხარჯი შეინახა,Dépense personnelle enregistrée,Gasto personal guardado
add_expense.group_expense_saved,Expense saved,Ausgabe gespeichert,Расход сохранён,ხარჯი შეინახა,Dépense enregistrée,Gasto guardado
add_expense.enter_valid_amount,Enter a valid amount,Gültigen Betrag eingeben,Введите корректную сумму,შეიყვანეთ სწორი თანხა,Entrez un montant valide,Introduce un importe válido
add_expense.could_not_save,Could not save entry,Eintrag konnte nicht gespeichert werden,Не удалось сохранить запись,ჩანაწერის შენახვა ვერ მოხდა,Impossible d'enregistrer l'entrée,No se pudo guardar la entrada
add_expense.could_not_save_expense,Could not save expense,Ausgabe konnte nicht gespeichert werden,Не удалось сохранить расход,ხარჯის შენახვა ვერ მოხდა,Impossible d'enregistrer la dépense,No se pudo guardar el gasto
add_expense.no_members,No members in this group. Add members first.,Keine Mitglieder in dieser Gruppe. Zuerst Mitglieder hinzufügen.,В группе нет участников. Сначала добавьте участников.,ჯგუფში წევრები არ არიან. ჯერ დაამატეთ წევრები.,Aucun membre dans ce groupe. Ajoutez d'abord des membres.,No hay miembros en este grupo. Añade miembros primero.
add_expense.manual_rate_optional,Manual Rate (Optional),Manueller Kurs (Optional),Ручной курс (необязательно),ხელით კურსი (სურვილისამებრ),Taux manuel (optionnel),Tasa manual (opcional)
add_expense.icon_colour,Icon & Colour,Symbol & Farbe,Иконка и цвет,ხატი და ფერი,Icône et couleur,Icono y color
add_expense.change_icon,Change icon & colour,Symbol & Farbe ändern,Изменить иконку и цвет,ხატისა და ფერის შეცვლა,Changer l'icône et la couleur,Cambiar icono y color
add_expense.new_category_btn,New,Neu,Новая,ახალი,Nouveau,Nuevo
add_expense.standard_categories,Standard,Standard,Стандартные,სტანდარტული,Standard,Estándar
add_expense.your_categories,Your Categories,Eigene Kategorien,Ваши категории,თქვენი კატეგორიები,Vos catégories,Tus categorías
add_expense.could_not_get_user,Could not get user. Try again.,Benutzer konnte nicht abgerufen werden. Erneut versuchen.,Не удалось получить пользователя. Попробуйте снова.,მომხმარებლის მიღება ვერ მოხდა. სცადეთ ახლავე.,Impossible d'obtenir l'utilisateur. Réessayez.,No se pudo obtener el usuario. Inténtalo de nuevo.
add_expense.percentages_must_sum,Percentages must sum to 100,Prozentwerte müssen 100 ergeben,Сумма процентов должна быть 100,პროცენტების ჯამი უნდა იყოს 100,Les pourcentages doivent totaliser 100,Los porcentajes deben sumar 100
add_expense.enter_share,Enter at least one share,Mindestens einen Anteil eingeben,Введите хотя бы одну долю,შეიყვანეთ სულ მცირე ერთი წილი,Entrez au moins une part,Introduce al menos una parte
add_expense.amounts_must_sum,Amounts must sum to {amount} (got {total}),Beträge müssen {amount} ergeben (erhalten: {total}),Сумма должна быть {amount} (получено: {total}),ჯამი უნდა იყოს {amount} (მიღებული: {total}),Les montants doivent totaliser {amount} (obtenu : {total}),Los importes deben sumar {amount} (obtenido: {total})
add_expense.member_n,Member {n},Mitglied {n},Участник {n},წევრი {n},Membre {n},Miembro {n}
add_expense.split_evenly_members,Split evenly among {count} members,Gleichmäßig auf {count} Mitglieder aufteilen,Равномерно на {count} участников,თანაბრად {count} წევრზე,Répartir équitablement entre {count} membres,Dividir equitativamente entre {count} miembros
add_expense.split_label,Split,Aufteilen,Разделить,გაყოფა,Répartir,Dividir
add_expense.manual_rate_label,Manual rate (bank / cash),Manueller Kurs (Bank / Bar),Ручной курс (банк / наличные),ხელღვანდებული კურსი (ბანკი / ნაღდი),Taux manuel (banque / espèces),Tasa manual (banco / efectivo)
add_expense.apply,Apply,Anwenden,Применить,გამოყენება,Appliquer,Aplicar
add_expense.colour_label,Colour,Farbe,Цвет,ფერი,Couleur,Color
add_expense.icon_label,Icon,Symbol,Значок,ხატი,Icône,Icono
add_expense.unsupported_file,"Unsupported file type. Allowed: images, PDF, TXT, MD.","Nicht unterstützter Dateityp. Erlaubt: Bilder, PDF, TXT, MD.","Неподдерживаемый тип файла. Разрешены: изображения, PDF, TXT, MD.","მხარდაუჭერი ფაილის ტიპი. დაშვებულია: სურათები, PDF, TXT, MD.","Type de fichier non pris en charge. Autorisés : images, PDF, TXT, MD.","Tipo de archivo no admitido. Permitidos: imágenes, PDF, TXT, MD."
add_expense.manual_enter_total,Enter total amount first,Zuerst Gesamtbetrag eingeben,Сначала введите общую сумму,ჯერ შეიყვანეთ საერთო თანხა,Entrez d'abord le montant total,Introduce primero el importe total
add_expense.manual_sum_matches,Sum: {currency} {sum} — matches total,Summe: {currency} {sum} — entspricht Gesamt,Сумма: {currency} {sum} — совпадает с итогом,ჯამი: {currency} {sum} — ემთხვევა,Somme : {currency} {sum} — correspond,Suma: {currency} {sum} — coincide
add_expense.manual_sum_remaining,Sum: {currency} {sum} — {diff} remaining,Summe: {currency} {sum} — {diff} verbleibend,Сумма: {currency} {sum} — осталось {diff},ჯამი: {currency} {sum} — {diff} დარცა,Somme : {currency} {sum} — {diff} restant,Suma: {currency} {sum} — {diff} restante
add_expense.manual_sum_over,Sum: {currency} {sum} — {diff} over total,Summe: {currency} {sum} — {diff} zu viel,Сумма: {currency} {sum} — превышение на {diff},ჯამი: {currency} {sum} — {diff} ზედმეტია,Somme : {currency} {sum} — {diff} de trop,Suma: {currency} {sum} — {diff} de más
add_expense.amount_unusually_large,"Amount exceeds $10,000,000 — is this correct?",Betrag übersteigt $10.000.000 — ist das korrekt?,"Сумма превышает $10,000,000 — вы уверены?","თანხა აღემატება $10,000,000 — დარწმუნებული ხართ?",Le montant dépasse $10 000 000 — est-ce correct?,"El monto supera $10,000,000 — ¿es correcto?"
edit_expense.title,Edit entry,Eintrag bearbeiten,Редактировать запись,ჩანაწერის რედაქტირება,Modifier l'entrée,Editar entrada
edit_expense.not_found,Expense not found,Ausgabe nicht gefunden,Расход не найден,ხარჯი ვერ მოიძებნა,Dépense introuvable,Gasto no encontrado
edit_expense.save_changes,Save changes,Änderungen speichern,Сохранить изменения,ცვლილებების შენახვა,Enregistrer les modifications,Guardar cambios
edit_expense.expense_updated,Expense updated,Ausgabe aktualisiert,Расход обновлён,ხარჯი განახლდა,Dépense mise à jour,Gasto actualizado
edit_expense.could_not_update,Could not update expense,Ausgabe konnte nicht aktualisiert werden,Не удалось обновить расход,ხარჯის განახლება ვერ მოხდა,Impossible de mettre à jour la dépense,No se pudo actualizar el gasto
create_group.title,New Group,Neue Gruppe,Новая группа,ახალი ჯგუფი,Nouveau groupe,Nuevo grupo
create_group.appearance,Group Appearance,Gruppenaussehen,Внешний вид группы,ჯგუფის გარეგნობა,Apparence du groupe,Apariencia del grupo
create_group.colour,Colour,Farbe,Цвет,ფერი,Couleur,Color
create_group.icon,Icon,Symbol,Иконка,ხატულა,Icône,Icono
create_group.group_currency,Group Currency (optional),Gruppenwährung (optional),Валюта группы (необязательно),ჯგუფის ვალუტა (სურვილისამებრ),Devise du groupe (optionnel),Moneda del grupo (opcional)
create_group.group_currency_subtitle,Expenses in this group will display totals in this currency.,Ausgaben in dieser Gruppe werden in dieser Währung angezeigt.,Итоги расходов группы будут отображаться в этой валюте.,ჯგუფის ხარჯების ჯამი ამ ვალუტაში ნაჩვენები იქნება.,Les totaux des dépenses du groupe seront affichés dans cette devise.,Los totales de gastos del grupo se mostrarán en esta moneda.
create_group.group_name,Group Name,Gruppenname,Название группы,ჯგუფის სახელი,Nom du groupe,Nombre del grupo
create_group.group_name_hint,"e.g. Barcelona trip, Flat mates…","z.B. Barcelona-Reise, Wohngemeinschaft…","напр. Барселона, Квартира…","მაგ. ბარსელონა, ბინის მოიჯარეები…","ex. Voyage à Barcelone, Colocataires…","p.ej. Viaje a Barcelona, Compañeros de piso…"
create_group.members_count,Members ({count}),Mitglieder ({count}),Участники ({count}),წევრები ({count}),Membres ({count}),Miembros ({count})
create_group.quick_add,Quick Add,Schnell hinzufügen,Быстрое добавление,სწრაფი დამატება,Ajout rapide,Añadir rápido
create_group.add_members,Add Members (optional),Mitglieder hinzufügen (optional),Добавить участников (необязательно),წევრების დამატება (სურვილისამებრ),Ajouter des membres (optionnel),Añadir miembros (opcional)
create_group.search_hint,"Search by name, @nickname or email…","Nach Name, @Nickname oder E-Mail suchen…","Поиск по имени, @никнейму или email…","ძიება სახელით, @მეტსახელით ან email-ით…","Rechercher par nom, @pseudo ou email…","Buscar por nombre, @apodo o email…"
create_group.add_later_hint,You can add members now or later from the group page.,Sie können Mitglieder jetzt oder später von der Gruppenseite hinzufügen.,Вы можете добавить участников сейчас или позже со страницы группы.,წევრები შეგიძლიათ დაამატოთ ახლა ან მოგვიანებით ჯგუფის გვერდიდან.,Vous pouvez ajouter des membres maintenant ou plus tard depuis la page du groupe.,Puedes añadir miembros ahora o más tarde desde la página del grupo.
create_group.search_unavailable,Search unavailable. Check connection.,Suche nicht verfügbar. Verbindung prüfen.,Поиск недоступен. Проверьте соединение.,ძიება მიუწვდომელია. შეამოწმეთ კავშირი.,Recherche indisponible. Vérifiez la connexion.,Búsqueda no disponible. Comprueba la conexión.
create_group.no_users_found,"No users found for ""{query}"".","Keine Benutzer für ""{query}"" gefunden.",Пользователи «{query}» не найдены.,"მომხმარებლები ""{query}"" ვერ მოიძებნა.","Aucun utilisateur trouvé pour ""{query}"".","No se encontraron usuarios para ""{query}""."
create_group.creating,Creating…,Erstellen…,Создаю…,იქმნება…,Création…,Creando…
create_group.create_btn,Create Group,Gruppe erstellen,Создать группу,ჯგუფის შექმნა,Créer le groupe,Crear grupo
create_group.create_with_members_one,Create Group with 1 member,Gruppe mit 1 Mitglied erstellen,Создать группу с 1 участником,ჯგუფის შექმნა 1 წევრით,Créer le groupe avec 1 membre,Crear grupo con 1 miembro
create_group.create_with_members_other,Create Group with {count} members,Gruppe mit {count} Mitgliedern erstellen,Создать группу с {count} участниками,ჯგუფის შექმნა {count} წევრით,Créer le groupe avec {count} membres,Crear grupo con {count} miembros
create_group.please_enter_name,Please enter a group name.,Bitte Gruppennamen eingeben.,"Пожалуйста, введите название группы.",გთხოვთ შეიყვანოთ ჯგუფის სახელი.,Veuillez entrer un nom de groupe.,"Por favor, introduce un nombre de grupo."
create_group.could_not_create,Could not create group. Check your connection.,Gruppe konnte nicht erstellt werden. Verbindung prüfen.,Не удалось создать группу. Проверьте соединение.,ჯგუფის შექმნა ვერ მოხდა. შეამოწმეთ კავშირი.,Impossible de créer le groupe. Vérifiez la connexion.,No se pudo crear el grupo. Comprueba la conexión.
create_group.partial_add_failed,"Group created, but could not add: {names}. Try adding them from the group page.","Gruppe erstellt, aber konnte nicht hinzufügen: {names}. Versuchen Sie es von der Gruppenseite.","Группа создана, но не удалось добавить: {names}. Попробуйте со страницы группы.","ჯგუფი შეიქმნა, მაგრამ ვერ დაემატა: {names}. სცადეთ ჯგუფის გვერდიდან.","Groupe créé, mais impossible d'ajouter : {names}. Essayez depuis la page du groupe.","Grupo creado, pero no se pudo añadir: {names}. Inténtalo desde la página del grupo."
create_group.choose_gallery,Choose from Gallery,Aus Galerie auswählen,Выбрать из галереи,გალერიიდან არჩევა,Choisir dans la galerie,Elegir de la galería
create_group.take_photo,Take a Photo,Foto aufnehmen,Сфотографировать,ფოტოს გადაღება,Prendre une photo,Hacer una foto
create_group.remove_photo,Remove Photo,Foto entfernen,Удалить фото,ფოტოს წაშლა,Supprimer la photo,Eliminar foto
create_group.pick_colour,Pick a colour,Farbe wählen,Выбрать цвет,ფერის არჩევა,Choisir une couleur,Elegir color
create_group.use_default_currency,Use my default currency,Meine Standardwährung verwenden,Использовать валюту по умолчанию,ჩემის ნაგულიერი ვალუტა,Utiliser ma devise par défaut,Usar mi moneda predeterminada
create_group.search_currency,"Search currency (e.g. EUR, GEL…)","Währung suchen (z.B. EUR, GEL…)","Поиск валюты (напр. EUR, GEL…)","ვალუტის ძებნა (მაგ. EUR, GEL…)","Rechercher une devise (ex. EUR, GEL…)","Buscar moneda (p.ej. EUR, GEL…)"
settings_ext.profile,Profile,Profil,Профиль,პროფილი,Profil,Perfil
settings_ext.security,Security,Sicherheit,Безопасность,უსაფრთხოება,Sécurité,Seguridad
settings_ext.security_subtitle,"Biometrics, PIN, fallback auth","Biometrie, PIN, Fallback-Authentifizierung","Биометрия, PIN, резервная аутентификация","ბიომეტრია, PIN, სარეზერვო ავთენტიკაცია","Biométrie, PIN, authentification de secours","Biometría, PIN, autenticación de respaldo"
settings_ext.notifications,Notifications,Benachrichtigungen,Уведомления,შეტყობინებები,Notifications,Notificaciones
settings_ext.notifications_subtitle,Push and email alerts,Push- und E-Mail-Benachrichtigungen,Push и email-уведомления,Push და Email შეტყობინებები,Alertes push et email,Alertas push y por email
settings_ext.regional,Regional Settings,Regionale Einstellungen,Региональные настройки,რეგიონალური პარამეტრები,Paramètres régionaux,Configuración regional
settings_ext.regional_subtitle,Date & time format,Datums- und Uhrzeitformat,Формат даты и времени,თარიღისა და დროის ფორმატი,Format de date et d'heure,Formato de fecha y hora
settings_ext.data,Data,Daten,Данные,მონაცემები,Données,Datos
settings_ext.import_splitwise,Import from Splitwise,Import von Splitwise,Импорт из Splitwise,Splitwise-დან იმპორტი,Importer de Splitwise,Importar de Splitwise
settings_ext.import_splitwise_subtitle,CSV import — map expenses into your Wallet,CSV-Import — Ausgaben in Wallet importieren,CSV импорт — добавьте расходы в кошелёк,CSV იმპორტი — ხარჯების გადატანა საფულეში,Import CSV — mapper les dépenses dans votre Portefeuille,Importación CSV — mapea gastos a tu Cartera
settings_ext.developer,Developer,Entwickler,Разработчик,დეველოპერი,Développeur,Desarrollador
settings_ext.tap_change_email,Tap to change email,Tippen zum Ändern der E-Mail,Нажмите для изменения email,შეეხეთ Email-ის შესაცვლელად,Appuyer pour changer l'email,Toca para cambiar email
settings_ext.change_password,Change Password,Passwort ändern,Сменить пароль,პაროლის შეცვლა,Changer le mot de passe,Cambiar contraseña
settings_ext.set_password,Set Password,Passwort setzen,Установить пароль,პაროლის დაყენება,Définir le mot de passe,Establecer contraseña
settings_ext.change_password_subtitle,Update your sign-in password,Anmeldepasswort aktualisieren,Обновите пароль для входа,განაახლეთ შესვლის პაროლი,Mettre à jour votre mot de passe de connexion,Actualiza tu contraseña de inicio de sesión
settings_ext.set_password_subtitle,Add a password to enable email + password login,Passwort für E-Mail + Passwort-Login hinzufügen,Добавьте пароль для входа по email,დაამატეთ პაროლი Email + პაროლით შესვლისთვის,Ajouter un mot de passe pour email + mot de passe,Añade una contraseña para email + contraseña
settings_ext.clear_expenses,Clear all expenses,Alle Ausgaben löschen,Очистить все расходы,ყველა ხარჯის გასუფთავება,Effacer toutes les dépenses,Limpiar todos los gastos
settings_ext.clear_expenses_subtitle,Wipe all expenses & splits from device and cloud,Alle Ausgaben von Gerät und Cloud löschen,Удалить все расходы и разделения с устройства и облака,ყველა ხარჯის წაშლა მოწყობილობიდან და ღრუბლიდან,Supprimer toutes les dépenses de l'appareil et du cloud,Eliminar todos los gastos del dispositivo y la nube
settings_ext.reset_cache,Reset Local Cache,Lokalen Cache zurücksetzen,Сбросить кэш,ლოკალური ქეშის გადატვირთვა,Réinitialiser le cache local,Restablecer caché local
settings_ext.reset_cache_subtitle,Wipes local DB and re-syncs from cloud. Fixes ghost data.,Lokale DB löschen und aus Cloud synchronisieren. Behebt Fehler.,Очищает локальную БД и синхронизирует из облака. Исправляет ошибки.,ლოკალური DB-ის გასუფთავება და ღრუბლიდან სინქრონიზაცია.,Efface la BD locale et synchronise depuis le cloud. Corrige les erreurs.,Limpia la BD local y sincroniza desde la nube. Corrige errores.
settings_ext.delete_account,Delete Account,Konto löschen,Удалить аккаунт,ანგარიშის წაშლა,Supprimer le compte,Eliminar cuenta
settings_ext.delete_account_subtitle,30-day cooling-off period. Log back in within 30 days to restore.,30 Tage Bedenkzeit. Innerhalb von 30 Tagen anmelden.,30-дневный период. Войдите в течение 30 дней для восстановления.,30-დღიანი პერიოდი. 30 დღეში შედით პროფილში პუნქტის სხვ.,Période de 30 jours. Reconnectez-vous dans 30 jours pour restaurer.,Período de 30 días. Inicia sesión en 30 días para restaurar.
settings_ext.version_prefix,Version,Version,Версия,ვერსია,Version,Versión
settings_ext.check_updates,Check for Updates,Nach Updates suchen,Проверить обновления,განახლებების შემოწმება,Vérifier les mises à jour,Buscar actualizaciones
settings_ext.update_available,Update Available,Update verfügbar,Доступно обновление,განახლება ხელმისაწვდომია,Mise à jour disponible,Actualización disponible
settings_ext.update_now,Update Now,Jetzt aktualisieren,Обновить,განახლება ახლა,Mettre à jour maintenant,Actualizar ahora
settings_ext.base_currency_subtitle,All dashboard totals are displayed in this currency.,Alle Dashboard-Summen werden in dieser Währung angezeigt.,Все итоги на дашборде отображаются в этой валюте.,ყველა სქემის ჯამი ამ ვალუტაში ნაჩვენებია.,Tous les totaux du tableau de bord sont affichés dans cette devise.,Todos los totales del panel se muestran en esta moneda.
settings_ext.name_empty,Name cannot be empty,Name darf nicht leer sein,Имя не может быть пустым,სახელი ვერ იქნება ცარიელი,Le nom ne peut pas être vide,El nombre no puede estar vacío
settings_ext.upload_photo_error,Could not upload photo,Foto konnte nicht hochgeladen werden,Не удалось загрузить фото,ფოტოს ატვირთვა ვერ მოხდა,Impossible de télécharger la photo,No se pudo subir la foto
settings_ext.could_not_load_profile,Could not load profile,Profil konnte nicht geladen werden,Не удалось загрузить профиль,პროფილის ჩატვირთვა ვერ მოხდა,Impossible de charger le profil,No se pudo cargar el perfil
settings_ext.dialog_change_email_title,Change Email,E-Mail ändern,Изменить Email,Email-ის შეცვლა,Changer l'Email,Cambiar Email
settings_ext.dialog_new_email_hint,New email address,Neue E-Mail-Adresse,Новый адрес email,ახალი Email მისამართი,Nouvelle adresse email,Nueva dirección de email
settings_ext.dialog_send_confirm,Send confirmation,Bestätigung senden,Отправить подтверждение,დადასტურების გაგზავნა,Envoyer la confirmation,Enviar confirmación
settings_ext.dialog_set_password_title,Set Password,Passwort setzen,Установить пароль,პაროლის დაყენება,Définir le mot de passe,Establecer contraseña
settings_ext.dialog_change_password_title,Change Password,Passwort ändern,Сменить пароль,პაროლის შეცვლა,Changer le mot de passe,Cambiar contraseña
settings_ext.dialog_add_password_body,Add a password so you can also sign in with email + password.,Passwort hinzufügen für E-Mail + Passwort-Login.,Добавьте пароль для входа по email + пароль.,დაამატეთ პაროლი Email + პაროლით შესვლისთვის.,Ajoutez un mot de passe pour vous connecter avec email + mot de passe.,Añade una contraseña para iniciar sesión con email + contraseña.
settings_ext.dialog_new_password_label,New password (min 8 characters),Neues Passwort (min. 8 Zeichen),Новый пароль (мин. 8 символов),ახალი პაროლი (მინ. 8 სიმბოლო),Nouveau mot de passe (min. 8 caractères),Nueva contraseña (mín. 8 caracteres)
settings_ext.dialog_confirm_password_label,Confirm password,Passwort bestätigen,Подтвердить пароль,გაიმეორეთ პაროლი,Confirmer le mot de passe,Confirmar contraseña
settings_ext.dialog_delete_account_title,Delete Account?,Konto löschen?,Удалить аккаунт?,ანგარიშის წაშლა?,Supprimer le compte ?,¿Eliminar cuenta?
settings_ext.dialog_cooling_period,30-day cooling-off period,30 Tage Bedenkzeit,30-дневный период охлаждения,30-დღიანი გაგრილების პერიოდი,Période de réflexion de 30 jours,Período de 30 días
settings_ext.dialog_delete_account_body,"Your account will be marked for deletion but all data is retained for 30 days.

Log back in within 30 days to restore everything.

After 30 days your account and all data are permanently deleted.","Ihr Konto wird zur Löschung markiert, alle Daten werden 30 Tage lang aufbewahrt.

Melden Sie sich innerhalb von 30 Tagen an.

Nach 30 Tagen werden Konto und alle Daten dauerhaft gelöscht.","Ваш аккаунт будет помечен для удаления, но все данные хранятся 30 дней.

Войдите в течение 30 дней для восстановления.

После 30 дней аккаунт и все данные удаляются безвозвратно.","თქვენი ანგარიში წასაშლელად მოინიშნება, მაგრამ ყველა მონაცემი 30 დღის განმავლობაში ინახება.

შედით 30 დღეში ყველაფრის აღსადგენად.

30 დღის შემდეგ ანგარიში და ყველა მონაცემი სამუდამოდ წაიშლება.","Votre compte sera marqué pour suppression mais toutes les données sont conservées 30 jours.

Reconnectez-vous dans 30 jours pour tout restaurer.

Après 30 jours, votre compte et toutes les données sont définitivement supprimés.","Tu cuenta será marcada para eliminación, pero todos los datos se conservan 30 días.

Inicia sesión en 30 días para restaurar todo.

Después de 30 días, tu cuenta y todos los datos se eliminan permanentemente."
settings_ext.dialog_delete_my_account,Delete My Account,Mein Konto löschen,Удалить мой аккаунт,ჩემი ანგარიშის წაშლა,Supprimer mon compte,Eliminar mi cuenta
settings_ext.dialog_clear_expenses_title,Clear all expenses?,Alle Ausgaben löschen?,Очистить все расходы?,ყველა ხარჯის გასუფთავება?,Effacer toutes les dépenses ?,¿Limpiar todos los gastos?
settings_ext.dialog_clear_expenses_body,This will permanently delete every expense and split from your account. Groups and members are kept. This cannot be undone.,Dadurch werden alle Ausgaben und Teilungen dauerhaft gelöscht. Gruppen und Mitglieder bleiben erhalten.,Это навсегда удалит все расходы и разделения. Группы и участники сохранятся. Отмена невозможна.,ეს სამუდამოდ წაშლის ყველა ხარჯს. ჯგუფები და წევრები შეინახება.,Cela supprimera définitivement toutes les dépenses et divisions. Les groupes et membres sont conservés.,Esto eliminará permanentemente todos los gastos y divisiones. Los grupos y miembros se conservan.
settings_ext.dialog_clear_expenses_confirm,Clear expenses,Ausgaben löschen,Очистить расходы,ხარჯების გასუფთავება,Effacer les dépenses,Limpiar gastos
settings_ext.dialog_reset_cache_title,Reset local cache?,Lokalen Cache zurücksetzen?,Сбросить кэш?,ლოკალური ქეშის გადატვირთვა?,Réinitialiser le cache local ?,¿Restablecer caché local?
settings_ext.dialog_reset_cache_body,All local data will be wiped and re-downloaded from the cloud. Use this to fix ghost groups or missing expenses.,Alle lokalen Daten werden gelöscht und erneut aus der Cloud heruntergeladen.,Все локальные данные будут удалены и загружены заново из облака.,ყველა ლოკალური მონაცემი წაიშლება და ახლიდან ჩამოტვირთავს ღრუბლიდან.,Toutes les données locales seront effacées et retéléchargées depuis le cloud.,Todos los datos locales se eliminarán y se volverán a descargar desde la nube.
settings_ext.dialog_reset_sync,Reset & Sync,Zurücksetzen & Synchronisieren,Сбросить и синхронизировать,გადატვირთვა და სინქრონიზაცია,Réinitialiser et synchroniser,Restablecer y sincronizar
settings_ext.cache_reset_success,Cache reset and synced from cloud,Cache zurückgesetzt und aus Cloud synchronisiert,Кэш сброшен и синхронизирован из облака,ქეში გადატვირთულია და სინქრონიზებულია ღრუბლიდან,Cache réinitialisé et synchronisé depuis le cloud,Caché restablecido y sincronizado desde la nube
settings_ext.expenses_cleared,All expenses cleared,Alle Ausgaben gelöscht,Все расходы очищены,ყველა ხარჯი გასუფთავდა,Toutes les dépenses effacées,Todos los gastos borrados
settings_ext.enter_valid_email,Enter a valid email address.,Bitte geben Sie eine gültige E-Mail-Adresse ein.,Введите действительный адрес электронной почты.,შეიყვანეთ სწორი ელ-ფოსტის მისამართი.,Entrez une adresse e-mail valide.,Ingrese una dirección de correo electrónico válida.
settings_ext.confirmation_sent,Confirmation sent to {email}. Check your inbox.,Bestätigung gesendet an {email}. Bitte überprüfen Sie Ihren Posteingang.,Подтверждение отправлено на {email}. Проверьте вашу почту.,დადასტურება გაგზავნილია {email}-ზე. შეამოწმეთ შემოსული.,Confirmation envoyée à {email}. Vérifiez votre boîte de réception.,Confirmación enviada a {email}. Revise su bandeja de entrada.
settings_ext.could_not_save_currency,Could not save currency: {error},Währung konnte nicht gespeichert werden: {error},Не удалось сохранить валюту: {error},ვალუტის შენახვა ვერ მოხერხდა: {error},Impossible de sauvegarder la devise : {error},No se pudo guardar la moneda: {error}
settings_ext.error_generic,Error: {error},Fehler: {error},Ошибка: {error},შეცდომა: {error},Erreur : {error},Error: {error}
settings_ext.saved,Saved,Gespeichert,Сохранено,შენახულია,Sauvegardé,Guardado
settings_ext.display_name,Display Name,Anzeigename,Отображаемое имя,საჩვენებელი სახელი,Nom d'affichage,Nombre de pantalla
settings_ext.name_hint,Your name,Ihr Name,Ваше имя,თქვენი სახელი,Votre nom,Tu nombre
settings_ext.nickname_optional,Nickname (optional),Spitzname (optional),Никнейм (необязательно),მეტსახელი (სურვილისამებრ),Surnom (facultatif),Apodo (opcional)
settings_ext.nickname_hint,yourhandle (no @),ihrname (kein @),вашник (без @),თქვენისახელი (@ გარეშე),votrenom (sans @),tunombre (sin @)
settings_ext.change_photo,Change photo,Foto ändern,Изменить фото,ფოტოს შეცვლა,Changer la photo,Cambiar foto
settings_ext.uploading_photo,Uploading…,Wird hochgeladen…,Загрузка…,იტვირთება…,Envoi en cours…,Subiendo…
settings_ext.theme_dark,Dark,Dunkel,Тёмная,მუქი,Sombre,Oscuro
settings_ext.theme_light,Light,Hell,Светлая,ღია,Clair,Claro
settings_ext.theme_system,System default,Systemstandard,По умолчанию,სისტემის ნაგულისხმევი,Défaut du système,Predeterminado del sistema
settings_ext.password_updated,Password updated successfully.,Passwort erfolgreich aktualisiert.,Пароль успешно обновлён.,პაროლი წარმატებით განახლდა.,Mot de passe mis à jour avec succès.,Contraseña actualizada correctamente.
settings_ext.password_set,Password set! You can now sign in with email + password.,Passwort gesetzt! Sie können sich jetzt mit E-Mail + Passwort anmelden.,Пароль установлен! Теперь вы можете войти с помощью email + пароль.,პაროლი დაყენებულია! ახლა შეგიძლიათ შეხვიდეთ ელ-ფოსტით + პაროლით.,Mot de passe défini ! Vous pouvez maintenant vous connecter avec email + mot de passe.,¡Contraseña establecida! Ahora puedes iniciar sesión con email + contraseña.
settings_ext.could_not_update_email,Could not update email.,E-Mail konnte nicht aktualisiert werden.,Не удалось обновить email.,ელ-ფოსტის განახლება ვერ მოხერხდა.,Impossible de mettre à jour l'email.,No se pudo actualizar el email.
settings_ext.could_not_update_password,Could not update password.,Passwort konnte nicht aktualisiert werden.,Не удалось обновить пароль.,პაროლის განახლება ვერ მოხერხდა.,Impossible de mettre à jour le mot de passe.,No se pudo actualizar la contraseña.
settings_ext.save_profile,Save Profile,Profil speichern,Сохранить профиль,პროფილის შენახვა,Enregistrer le profil,Guardar perfil
wallet_entry.title,Add Wallet Entry,Wallet-Eintrag hinzufügen,Добавить запись в кошелёк,საფულის ჩანაწერის დამატება,Ajouter une entrée de portefeuille,Agregar entrada de cartera
wallet_entry.what_type,What type of entry?,Welche Art von Eintrag?,Какой тип записи?,ჩანაწერის სახეობა?,Quel type d'entrée ?,¿Qué tipo de entrada?
wallet_entry.choose_direction,Choose the direction of this wallet entry.,Wählen Sie die Richtung dieses Wallet-Eintrags.,Выберите направление этой записи кошелька.,აირჩიეთ ამ საფულის ჩანაწერის მიმართულება.,Choisissez la direction de cette entrée de portefeuille.,Elija la dirección de esta entrada de cartera.
wallet_entry.add_income,ADD AN INCOME,EINNAHME HINZUFÜGEN,ДОБАВИТЬ ДОХОД,შემოსავლის დამატება,AJOUTER UN REVENU,AGREGAR UN INGRESO
