key,en,de,es,fr,ka,ru
dashboard.ai_empty_state,Start tracking your spending — AI insights unlock once you have transactions.,"Beginne deine Ausgaben zu erfassen — KI-Einblicke werden freigeschaltet, sobald du Transaktionen hast.",Empieza a registrar tus gastos — los insights de IA se desbloquean cuando tengas transacciones.,Commencez à suivre vos dépenses — les insights IA se débloquent dès que vous avez des transactions.,დაიწყე ხარჯების აღრიცხვა — AI-ინსაითები გახსნილი იქნება ტრანზაქციების დამატების შემდეგ.,Начните отслеживать расходы — AI-инсайты станут доступны после добавления транзакций.
dashboard.ai_no_data,Add some expenses to get your first AI insight.,"Füge Ausgaben hinzu, um deinen ersten KI-Einblick zu erhalten.",Agrega gastos para obtener tu primer análisis IA.,Ajoutez des dépenses pour obtenir votre premier aperçu IA.,დაამატე ხარჯები პირველი AI-ინსაითის მისაღებად.,"Добавьте расходы, чтобы получить первый AI-инсайт."
dashboard.ai_offline,You're offline. AI insights will resume when you reconnect.,"Du bist offline. KI-Einblicke kehren zurück, sobald du wieder verbunden bist.",Estás sin conexión. Los insights de IA volverán cuando te reconectes.,Vous êtes hors ligne. Les insights IA reprendront à la reconnexion.,ხაზგარეშე ხარ. AI-ინსაითები დაბრუნდება კავშირის აღდგენისას.,Нет соединения. AI-инсайты вернутся при восстановлении связи.
dashboard.ai_unavailable,AI insight unavailable,KI-Einblick nicht verfügbar,IA no disponible,Aperçu IA indisponible,AI-ინსაითი მიუწვდომელია,AI-инсайт недоступен
dashboard.cash_position,Cash position,Bargeldposition,Posición en efectivo,Position en espèces,ნაღდი ფული,Наличные
dashboard.group_count_one,{count} group,{count} Gruppe,{count} grupo,{count} groupe,{count} ჯგუფი,{count} группа
dashboard.group_count_other,{count} groups,{count} Gruppen,{count} grupos,{count} groupes,{count} ჯგუფი,{count} групп
dashboard.in_the_green,You are in the green,Du bist im Plus,Estás en positivo,Vous êtes dans le vert,თქვენ პლუსში ხართ,Вы в плюсе
dashboard.in_the_red,You are in the red,Du bist im Minus,Estás en negativo,Vous êtes dans le rouge,თქვენ მინუსში ხართ,Вы в минусе
dashboard.items,{count} items,{count} Einträge,{count} registros,{count} entrées,{count} ჩანაწერი,{count} записей
dashboard.net_group_position,Net group position,Netto-Gruppenposition,Posición neta del grupo,Position nette du groupe,ჯგუფების წმინდა პოზიცია,Чистая позиция по группам
dashboard.net_worth,Net Worth,Nettovermögen,Patrimonio neto,Valeur nette,წმინდა ღირებულება,Чистый капитал
dashboard.net_worth_label,Net Worth,Nettovermögen,Patrimonio neto,Valeur nette,წმინდა ღირებულება,Чистый капитал
dashboard.no_expenses,No expenses yet,Noch keine Ausgaben,Aún no hay gastos,Pas encore de dépenses,ხარჯები ჯერ არ არის,Расходов ещё нет
dashboard.overall_balanced,All settled up,Alles beglichen,Todo liquidado,Tout réglé,ყველაფერი ანაზღაურებულია,Все расчёты выполнены
dashboard.overall_owe,Overall you owe,Insgesamt schuldest du,En total debes,Total à payer,სულ გეკუთვნის,Всего вы должны
dashboard.overall_owed,Overall you are owed,Insgesamt steht dir zu,En total te deben,Total à recevoir,სულ გეკუთვნით,Всего вам должны
dashboard.personal_wallet,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.recent_activity,Recent activity,Letzte Aktivität,Actividad reciente,Activité récente,ბოლო ოპერაციები,Последние операции
dashboard.shared_balance,Shared balance,Gemeinsamer Saldo,Saldo compartido,Solde partagé,საერთო ბალანსი,Общий баланс
dashboard.shared_expenses,Shared Expenses,Geteilte Ausgaben,Gastos compartidos,Dépenses partagées,საერთო ხარჯები,Общие расходы
dashboard.start_tracking,Start Tracking,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,Начать учёт
dashboard.title,Dashboard,Dashboard,Inicio,Tableau de bord,მთავარი,Главная
dashboard.trends,Trends & Insights,Trends & Einblicke,Tendencias e información,Tendances & insights,ტრენდები და ანალიტიკა,Тренды и аналитика
dashboard.wallet_cash,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.wallet_cash_label,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.you_are_owed,Owed to you,Dein Guthaben,Te deben,On vous doit,გეკუთვნით,Вам должны
dashboard.you_owe,You owe,Du schuldest,Debes,Vous devez,თქვენ გეზდებათ,Вы должны
dashboard.your_finances,YOUR FINANCES,DEINE FINANZEN,TUS FINANZAS,VOS FINANCES,ფინანსები,ФИНАНСЫ
edit_expense.could_not_update,Could not update expense,Ausgabe konnte nicht aktualisiert werden,No se pudo actualizar el gasto,Impossible de mettre à jour la dépense,ხარჯის განახლება ვერ მოხდა,Не удалось обновить расход
edit_expense.expense_updated,Expense updated,Ausgabe aktualisiert,Gasto actualizado,Dépense mise à jour,ხარჯი განახლდა,Расход обновлён
edit_expense.not_found,Expense not found,Ausgabe nicht gefunden,Gasto no encontrado,Dépense introuvable,ხარჯი ვერ მოიძებნა,Расход не найден
edit_expense.save_changes,Save changes,Änderungen speichern,Guardar cambios,Enregistrer les modifications,ცვლილებების შენახვა,Сохранить изменения
edit_expense.title,Edit entry,Eintrag bearbeiten,Editar entrada,Modifier l'entrée,ჩანაწერის რედაქტირება,Редактировать запись
export.csv_groups_subtitle,All group expenses as spreadsheet,Alle Gruppenausgaben als Tabelle,Todos los gastos del grupo como hoja de cálculo,Toutes les dépenses du groupe en tableur,ყველა ჯგუფის ხარჯი ცხრილის სახით,Все расходы группы в виде таблицы
export.csv_title,CSV export,CSV-Export,Exportar CSV,Export CSV,CSV ექსპორტი,Экспорт CSV
export.csv_wallet_subtitle,All wallet entries as spreadsheet,Alle Geldbörseneinträge als Tabelle,Todas las entradas del monedero como hoja de cálculo,Toutes les entrées du portefeuille en tableur,საფულის ყველა ჩანაწერი ცხრილის სახით,Все записи кошелька в виде таблицы
export.json_groups_subtitle,All group expenses as JSON,Alle Gruppenausgaben als JSON,Todos los gastos del grupo en JSON,Toutes les dépenses du groupe en JSON,ყველა ჯგუფის ხარჯი JSON-ად,Все расходы группы в JSON
export.json_title,JSON export,JSON-Export,Exportar JSON,Export JSON,JSON ექსპორტი,Экспорт JSON
export.json_wallet_subtitle,All wallet entries as JSON,Alle Geldbörseneinträge als JSON,Todas las entradas del monedero en JSON,Toutes les entrées du portefeuille en JSON,საფულის ყველა ჩანაწერი JSON-ად,Все записи кошелька в JSON
export.pdf_group_subtitle,Group expenses as PDF,Gruppenausgaben als PDF,Gastos del grupo en PDF,Dépenses du groupe en PDF,ჯგუფის ხარჯები PDF-ად,Расходы группы в PDF
export.pdf_groups_subtitle,Full groups report as PDF,Vollständiger Gruppenbericht als PDF,Informe completo de grupos en PDF,Rapport complet des groupes en PDF,ჯგუფების სრული ანგარიში PDF-ად,Полный отчёт по группам в PDF
export.pdf_title,PDF report,PDF-Bericht,Informe PDF,Rapport PDF,PDF ანგარიში,PDF-отчёт
export.pdf_wallet_subtitle,Full wallet report as PDF,Vollständiger Geldbörsen-Bericht als PDF,Informe completo del monedero en PDF,Rapport complet du portefeuille en PDF,საფულის სრული ანგარიში PDF-ად,Полный отчёт по кошельку в PDF
group_info_screen.could_not_delete,Could not delete. Try Force Delete from the … menu.,Löschen fehlgeschlagen. Versuche Force Delete über das …-Menü.,No se pudo eliminar. Prueba Forzar eliminación desde el menú …,Impossible de supprimer. Essayez Forcer la suppression via le menu …,წაშლა ვერ მოხდა. სცადეთ ძალით წაშლა … მენიუდან.,Не удалось удалить. Попробуйте «Принудительное удаление» через меню …
group_picker.choose_group,Choose a group,Gruppe auswählen,Elige un grupo,Choisir un groupe,აირჩიეთ ჯგუფი,Выберите группу
group_picker.could_not_load,Could not load groups,Gruppen konnten nicht geladen werden,No se pudieron cargar los grupos,Impossible de charger les groupes,ჯგუფების ჩატვირთვა ვერ მოხდა,Не удалось загрузить группы
group_picker.new_group,New group,Neue Gruppe,Nuevo grupo,Nouveau groupe,ახალი ჯგუფი,Новая группа
group_picker.no_groups,"No groups yet. Tap ""New group"" to create one.","Noch keine Gruppen. Tippe auf ""Neue Gruppe"".","Sin grupos añadidos. Pulsa ""Nuevo grupo"".","Pas encore de groupes. Appuyez sur ""Nouveau groupe"".",ჯგუფები ჯერ არ არის. დააჭირეთ «ახალი ჯგუფი».,Групп пока нет. Нажмите «Новая группа».
group_picker.title,Add expense,Ausgabe hinzufügen,Añadir gasto,Ajouter une dépense,ხარჯის დამატება,Добавить расход
groups.create,New Group,Neue Gruppe,Nuevo grupo,Nouveau groupe,ახალი ჯგუფი,Новая группа
groups.member,1 member,1 Mitglied,1 miembro,1 membre,1 წევრი,1 участник
groups.members,{count} members,{count} Mitglieder,{count} miembros,{count} membres,{count} წევრი,{count} участников
groups.no_groups,No groups yet,Noch keine Gruppen,Aún no hay grupos,Pas encore de groupes,ჯგუფები ჯერ არ არის,Групп ещё нет
groups.title,Groups,Gruppen,Grupos,Groupes,ჯგუფები,Группы
groups.your_groups,Your groups,Deine Gruppen,Tus grupos,Vos groupes,თქვენი ჯგუფები,Ваши группы
groups_screen.add_expense,Add Expense,Ausgabe hinzufügen,Añadir gasto,Ajouter une dépense,ხარჯის დამატება,Добавить расход
groups_screen.add_member,Add member,Mitglied hinzufügen,Añadir miembro,Ajouter un membre,წევრის დამატება,Добавить участника
groups_screen.could_not_delete,Could not delete group. Try Force Delete from the long-press menu.,Gruppe konnte nicht gelöscht werden. Versuche Force Delete über das Langdrück-Menü.,No se pudo eliminar el grupo. Prueba Forzar eliminación desde el menú largo.,Impossible de supprimer le groupe. Essayez Forcer la suppression via le menu long.,ჯგუფის წაშლა ვერ მოხდა. სცადეთ ძალით წაშლა გრძელი დაჭერის მენიუდან.,Не удалось удалить группу. Попробуйте «Принудительное удаление» через долгое нажатие.
groups_screen.could_not_load,Could not load groups,Gruppen konnten nicht geladen werden,No se pudieron cargar los grupos,Impossible de charger les groupes,ჯგუფების ჩატვირთვა ვერ მოხერხდა,Не удалось загрузить группы
groups_screen.could_not_rename,Could not rename. Only the group creator can rename.,Umbenennen fehlgeschlagen. Nur der Ersteller kann die Gruppe umbenennen.,No se pudo renombrar. Solo el creador puede renombrar el grupo.,Impossible de renommer. Seul le créateur peut renommer le groupe.,გადარქმევა ვერ მოხდა. მხოლოდ ჯგუფის შემქმნელს შეუძლია გადარქმევა.,Не удалось переименовать. Только создатель группы может переименовывать.
groups_screen.delete_confirm,Delete {count} groups? As the owner you can restore them from the Activity screen within 12 months.,{count} Gruppen löschen? Als Besitzer kannst du sie innerhalb von 12 Monaten wiederherstellen.,¿Eliminar {count} grupos? Como propietario puedes restaurarlos desde la pantalla de Actividad en 12 meses.,Supprimer {count} groupes ? En tant que propriétaire vous pouvez les restaurer depuis l'Activité dans les 12 mois.,{count} ჯგუფის წაშლა? მფლობელი 12 თვის განმავლობაში შეძლებს აღდგენას.,Удалить {count} групп? Как владелец вы можете восстановить их в разделе «Активность» в течение 12 месяцев.
groups_screen.delete_confirm_one,Delete 1 group? As the owner you can restore it from the Activity screen within 12 months.,1 Gruppe löschen? Als Besitzer kannst du sie innerhalb von 12 Monaten wiederherstellen.,¿Eliminar 1 grupo? Como propietario puedes restaurarlo desde la pantalla de Actividad en 12 meses.,Supprimer 1 groupe ? En tant que propriétaire vous pouvez le restaurer depuis l'Activité dans les 12 mois.,1 ჯგუფის წაშლა? მფლობელი 12 თვის განმავლობაში შეძლებს აღდგენას.,Удалить 1 группу? Как владелец вы можете восстановить её в разделе «Активность» в течение 12 месяцев.
groups_screen.delete_expense_title,Delete expense?,Ausgabe löschen?,¿Eliminar gasto?,Supprimer la dépense ?,ხარჯის წაშლა?,Удалить расход?
groups_screen.delete_title,Delete groups?,Gruppen löschen?,¿Eliminar grupos?,Supprimer les groupes ?,ჯგუფების წაშლა?,Удалить группы?
groups_screen.download_report,Download report,Bericht herunterladen,Descargar informe,Télécharger le rapport,ანგარიშის ჩამოტვირთვა,Скачать отчёт
groups_screen.edit_expense,Edit expense,Ausgabe bearbeiten,Editar gasto,Modifier la dépense,ხარჯის რედაქტირება,Редактировать расход
groups_screen.error_delete,Could not delete some groups.,Einige Gruppen konnten nicht gelöscht werden.,No se pudieron eliminar algunos grupos.,Impossible de supprimer certains groupes.,ზოგიერთი ჯგუფის წაშლა ვერ მოხერხდა.,Не удалось удалить некоторые группы.
groups_screen.expense_deleted,Expense deleted,Ausgabe gelöscht,Gasto eliminado,Dépense supprimée,ხარჯი წაიშალა,Расход удалён
groups_screen.filter_by_group,Filter by group,Nach Gruppe filtern,Filtrar por grupo,Filtrer par groupe,ჯგუფის მიხედვით,Фильтр по группе
groups_screen.new_group,New Group,Neue Gruppe,Nuevo grupo,Nouveau groupe,ახალი ჯგუფი,Новая группа
groups_screen.no_expenses_filter,No expenses match the current filter.,Keine Ausgaben entsprechen dem aktuellen Filter.,Ningún gasto coincide con el filtro actual.,Aucune dépense ne correspond au filtre actuel.,ფილტრს ვერ დაემთხვა ხარჯი.,Расходов по выбранному фильтру нет.
groups_screen.no_expenses_yet,No expenses yet. Tap Add expense to get started.,Noch keine Ausgaben. Tippe auf Ausgabe hinzufügen.,Aún no hay gastos. Toca Añadir gasto para empezar.,Pas encore de dépenses. Appuyez sur Ajouter une dépense.,ხარჯები ჯერ არ არის. დააჭირეთ ხარჯის დამატება.,Расходов пока нет. Нажмите «Добавить расход».
groups_screen.overall_owe,Overall you owe,Insgesamt schuldest du,En total debes,Total à payer,სულ გეკუთვნის,Всего вы должны
groups_screen.overall_owed,Overall you are owed,Insgesamt steht dir zu,En total te deben,Total à recevoir,სულ გეკუთვნით,Всего вам должны
groups_screen.owed_to_you,Owed to you,Dein Guthaben,Te deben,On vous doit,გეკუთვნით,Вам должны
groups_screen.recent_activity,Recent activity,Letzte Aktivität,Actividad reciente,Activité récente,ბოლო აქტივობა,Последние операции
groups_screen.rename_group,Rename group,Gruppe umbenennen,Renombrar grupo,Renommer le groupe,ჯგუფის გადარქმევა,Переименовать группу
groups_screen.reopened,Group reopened.,Gruppe wieder geöffnet.,Grupo reabierto.,Groupe rouvert.,ჯგუფი გახსნილია.,Группа возобновлена.
groups_screen.settle_btn,Settle,Abrechnen,Liquidar,Solder,ანგარიშსწორება,Завершить
groups_screen.settle_group_title,Settle group?,Gruppe abrechnen?,¿Liquidar grupo?,Solder le groupe ?,ჯგუფის ანგარიშსწორება?,Завершить расчёты?
groups_screen.settled_up,Group settled up!,Gruppe abgerechnet!,¡Grupo liquidado!,Groupe soldé !,ჯგუფი ანგარიშსწორდა!,Расчёты завершены!
groups_screen.sort_activity_tooltip,Sort activity,Aktivität sortieren,Ordenar actividad,Trier l'activité,აქტივობის დალაგება,Сортировать активность
groups_screen.sort_groups_tooltip,Sort groups,Gruppen sortieren,Ordenar grupos,Trier les groupes,ჯგუფების დალაგება,Сортировать группы
groups_screen.you_owe,You owe,Du schuldest,Debes,Vous devez,გეზდებათ,Вы должны
invite_friend.copy_link,Copy link,Link kopieren,Copiar enlace,Copier le lien,ბმულის კოპირება,Скопировать ссылку
invite_friend.footer,Your link is unique to your account and never expires.,Dein Link ist einzigartig für dein Konto und läuft nie ab.,Tu enlace es único para tu cuenta y nunca expira.,Votre lien est unique à votre compte et n'expire jamais.,თქვენი ბმული უნიკალურია თქვენი ანგარიშისთვის და არასოდეს ვადა ეწურება.,Ваша ссылка уникальна для вашего аккаунта и никогда не истекает.
invite_friend.headline,Share your personal link,Deinen persönlichen Link teilen,Comparte tu enlace personal,Partagez votre lien personnel,გაუზიარეთ თქვენი პერსონალური ბმული,Поделитесь своей личной ссылкой
invite_friend.link_copied,Link copied!,Link kopiert!,¡Enlace copiado!,Lien copié !,ბმული დაკოპირდა!,Ссылка скопирована!
invite_friend.share_subject,Join me on SetAll,Begleite mich auf SetAll,Únete a mí en SetAll,Rejoignez-moi sur SetAll,შემომიერთდი SetAll-ში,Присоединяйтесь ко мне в SetAll
invite_friend.share_text,Join me on SetAll to track our shared expenses: {link},Begleite mich auf SetAll zur Verfolgung unserer gemeinsamen Ausgaben: {link},Únete a mí en SetAll para rastrear nuestros gastos compartidos: {link},Rejoignez-moi sur SetAll pour suivre nos dépenses partagées : {link},შემომიერთდი SetAll-ში ჩვენი საერთო ხარჯების თვალსაყოლებლად: {link},Присоединяйтесь ко мне в SetAll для отслеживания общих расходов: {link}
invite_friend.share_via,Share via…,Teilen über…,Compartir por…,Partager via…,გაზიარება…,Поделиться через…
invite_friend.subtitle,Anyone who joins via your link will be automatically connected to you on SetAll.,"Jeder, der über deinen Link beitritt, wird automatisch mit dir auf SetAll verbunden.",Cualquiera que se una a través de tu enlace se conectará automáticamente contigo en SetAll.,Toute personne qui rejoint via votre lien sera automatiquement connectée à vous sur SetAll.,"ყველა, ვინც თქვენი ბმულით შემოვა, ავტომატურად დაუკავშირდება თქვენ SetAll-ზე.","Все, кто присоединяется по вашей ссылке, будут автоматически связаны с вами в SetAll."
invite_friend.title,Invite a Friend,Freund einladen,Invitar a un amigo,Inviter un ami,მეგობრის მოწვევა,Пригласить друга
lang_prompt.body,Your device language is {language}. Continue or choose another?,Erkannte Sprache: {language}. Weiter oder andere wählen?,Idioma {language} detectado. ¿Continuar o elegir otro?,Langue {language} détectée. Continuer ou en choisir une autre ?,გამოვლინდა ენა: {language}. გაგრძელება თუ სხვის არჩევა?,Обнаружен язык: {language}. Продолжить или выбрать другой?
lang_prompt.change,Choose language,Sprache wählen,Elegir idioma,Choisir la langue,ენის არჩევა,Выбрать язык
lang_prompt.keep,Continue in {language},Weiter auf {language},Continuar en {language},Continuer en {language},გაგრძელება {language}-ზე,Продолжить на {language}
lang_prompt.title,Language detected,Sprache erkannt,Idioma detectado,Langue détectée,ენა გამოვლინდა,Язык обнаружен
nav.activity,Activity,Aktivität,Actividad,Activité,აქტივობა,Активность
nav.analytics,Analytics,Analyse,Análisis,Analyses,ანალიტიკა,Аналитика
nav.dashboard,Dashboard,Dashboard,Panel,Tableau de bord,მთავარი,Главная
nav.groups,Groups,Gruppen,Grupos,Groupes,ჯგუფები,Группы
nav.settings,Settings,Einstellungen,Ajustes,Paramètres,პარამეტრები,Настройки
nav.wallet,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
settings.about,About,Über die App,Acerca de,À propos,აპლიკაციის შესახებ,О приложении
settings.account,Account,Konto,Cuenta,Compte,ანგარიში,Аккаунт
settings.appearance,Appearance,Erscheinungsbild,Apariencia,Apparence,გარეგნობა,Внешний вид
settings.currency,Base Currency,Basiswährung,Moneda base,Devise de base,ძირითადი ვალუტა,Валюта по умолчанию
settings.language,Language,Sprache,Idioma,Langue,ენა,Язык
settings.language_subtitle,Choose your preferred language,Bevorzugte Sprache wählen,Elige tu idioma preferido,Choisissez votre langue préférée,აირჩიეთ სასურველი ენა,Выберите предпочитаемый язык
settings.preferences,Preferences,Einstellungen,Preferencias,Préférences,პარამეტრები,Параметры
settings.sign_out,Sign out,Abmelden,Cerrar sesión,Se déconnecter,გასვლა,Выйти
settings.title,Settings,Einstellungen,Ajustes,Paramètres,პარამეტრები,Настройки
settings_ext.base_currency_subtitle,All dashboard totals are displayed in this currency.,Alle Dashboard-Summen werden in dieser Währung angezeigt.,Todos los totales del panel se muestran en esta moneda.,Tous les totaux du tableau de bord sont affichés dans cette devise.,ყველა სქემის ჯამი ამ ვალუტაში ნაჩვენებია.,Все итоги на дашборде отображаются в этой валюте.
settings_ext.cache_reset_success,Cache reset and synced from cloud,Cache zurückgesetzt und aus Cloud synchronisiert,Caché restablecido y sincronizado desde la nube,Cache réinitialisé et synchronisé depuis le cloud,ქეში გადატვირთულია და სინქრონიზებულია ღრუბლიდან,Кэш сброшен и синхронизирован из облака
settings_ext.change_password,Change Password,Passwort ändern,Cambiar contraseña,Changer le mot de passe,პაროლის შეცვლა,Сменить пароль
settings_ext.change_password_subtitle,Update your sign-in password,Anmeldepasswort aktualisieren,Actualiza tu contraseña de inicio de sesión,Mettre à jour votre mot de passe de connexion,განაახლეთ შესვლის პაროლი,Обновите пароль для входа
settings_ext.change_photo,Change photo,Foto ändern,Cambiar foto,Changer la photo,ფოტოს შეცვლა,Изменить фото
settings_ext.check_updates,Check for Updates,Nach Updates suchen,Buscar actualizaciones,Vérifier les mises à jour,განახლებების შემოწმება,Проверить обновления
settings_ext.clear_expenses,Clear all expenses,Alle Ausgaben löschen,Limpiar todos los gastos,Effacer toutes les dépenses,ყველა ხარჯის გასუფთავება,Очистить все расходы
settings_ext.clear_expenses_subtitle,Wipe all expenses & splits from device and cloud,Alle Ausgaben von Gerät und Cloud löschen,Eliminar todos los gastos del dispositivo y la nube,Supprimer toutes les dépenses de l'appareil et du cloud,ყველა ხარჯის წაშლა მოწყობილობიდან და ღრუბლიდან,Удалить все расходы и разделения с устройства и облака
settings_ext.confirmation_sent,Confirmation sent to {email}. Check your inbox.,Bestätigung gesendet an {email}. Bitte überprüfe deinen Posteingang.,Confirmación enviada a {email}. Revisa tu bandeja de entrada.,Confirmation envoyée à {email}. Vérifiez votre boîte de réception.,დადასტურება გაგზავნილია {email}-ზე. შეამოწმეთ შემოსული.,Подтверждение отправлено на {email}. Проверьте вашу почту.
settings_ext.could_not_load_profile,Could not load profile,Profil konnte nicht geladen werden,No se pudo cargar el perfil,Impossible de charger le profil,პროფილის ჩატვირთვა ვერ მოხდა,Не удалось загрузить профиль
settings_ext.could_not_save_currency,Could not save currency: {error},Währung konnte nicht gespeichert werden: {error},No se pudo guardar la moneda: {error},Impossible de sauvegarder la devise : {error},ვალუტის შენახვა ვერ მოხერხდა: {error},Не удалось сохранить валюту: {error}
settings_ext.could_not_update_email,Could not update email.,E-Mail konnte nicht aktualisiert werden.,No se pudo actualizar el email.,Impossible de mettre à jour l'email.,ელ-ფოსტის განახლება ვერ მოხერხდა.,Не удалось обновить email.
settings_ext.could_not_update_password,Could not update password.,Passwort konnte nicht aktualisiert werden.,No se pudo actualizar la contraseña.,Impossible de mettre à jour le mot de passe.,პაროლის განახლება ვერ მოხერხდა.,Не удалось обновить пароль.
settings_ext.data,Data,Daten,Datos,Données,მონაცემები,Данные
settings_ext.delete_account,Delete Account,Konto löschen,Eliminar cuenta,Supprimer le compte,ანგარიშის წაშლა,Удалить аккаунт
settings_ext.delete_account_subtitle,30-day cooling-off period. Log back in within 30 days to restore.,30 Tage Bedenkzeit. Innerhalb von 30 Tagen anmelden.,Período de 30 días. Inicia sesión en 30 días para restaurar.,Période de 30 jours. Reconnectez-vous dans 30 jours pour restaurer.,30-დღიანი პერიოდი. 30 დღეში შედით ყველაფრის აღსადგენად.,30-дневный период. Войдите в течение 30 дней для восстановления.
settings_ext.developer,Developer,Entwickler,Desarrollador,Développeur,დეველოპერი,Разработчик
settings_ext.dialog_add_password_body,Add a password so you can also sign in with email + password.,Passwort hinzufügen für E-Mail + Passwort-Login.,Añade una contraseña para iniciar sesión con email + contraseña.,Ajoutez un mot de passe pour vous connecter avec email + mot de passe.,დაამატეთ პაროლი Email + პაროლით შესვლისთვის.,Добавьте пароль для входа по email + пароль.
settings_ext.dialog_change_email_title,Change Email,E-Mail ändern,Cambiar Email,Changer l'Email,Email-ის შეცვლა,Изменить Email
settings_ext.dialog_change_password_title,Change Password,Passwort ändern,Cambiar contraseña,Changer le mot de passe,პაროლის შეცვლა,Сменить пароль
settings_ext.dialog_clear_expenses_body,This will permanently delete every expense and split from your account. Groups and members are kept. This cannot be undone.,Dadurch werden alle Ausgaben und Teilungen dauerhaft gelöscht. Gruppen und Mitglieder bleiben erhalten.,Esto eliminará permanentemente todos los gastos y divisiones. Los grupos y miembros se conservan.,Cela supprimera définitivement toutes les dépenses et divisions. Les groupes et membres sont conservés.,ეს სამუდამოდ წაშლის ყველა ხარჯს. ჯგუფები და წევრები შეინახება.,Это навсегда удалит все расходы и разделения. Группы и участники сохранятся. Отмена невозможна.
settings_ext.dialog_clear_expenses_confirm,Clear expenses,Ausgaben löschen,Limpiar gastos,Effacer les dépenses,ხარჯების გასუფთავება,Очистить расходы
settings_ext.dialog_clear_expenses_title,Clear all expenses?,Alle Ausgaben löschen?,¿Limpiar todos los gastos?,Effacer toutes les dépenses ?,ყველა ხარჯის გასუფთავება?,Очистить все расходы?
settings_ext.dialog_confirm_password_label,Confirm password,Passwort bestätigen,Confirmar contraseña,Confirmer le mot de passe,გაიმეორეთ პაროლი,Подтвердить пароль
settings_ext.dialog_cooling_period,30-day cooling-off period,30 Tage Bedenkzeit,Período de 30 días,Période de réflexion de 30 jours,30-დღიანი გაგრილების პერიოდი,30-дневный период охлаждения
settings_ext.dialog_delete_account_body,"Your account will be marked for deletion but all data is retained for 30 days.

Log back in within 30 days to restore everything.

After 30 days your account and all data are permanently deleted.","Ihr Konto wird zur Löschung markiert, alle Daten werden 30 Tage lang aufbewahrt.

Melden Sie sich innerhalb von 30 Tagen an.

Nach 30 Tagen werden Konto und alle Daten dauerhaft gelöscht.","Tu cuenta será marcada para eliminación, pero todos los datos se conservan 30 días.

Inicia sesión en 30 días para restaurar todo.

Después de 30 días, tu cuenta y todos los datos se eliminan permanentemente.","Votre compte sera marqué pour suppression mais toutes les données sont conservées 30 jours.

Reconnectez-vous dans 30 jours pour tout restaurer.

Après 30 jours, votre compte et toutes les données sont définitivement supprimés.","თქვენი ანგარიში წასაშლელად მოინიშნება, მაგრამ ყველა მონაცემი 30 დღის განმავლობაში ინახება.

შედით 30 დღეში ყველაფრის აღსადგენად.

30 დღის შემდეგ ანგარიში და ყველა მონაცემი სამუდამოდ წაიშლება.","Ваш аккаунт будет помечен для удаления, но все данные хранятся 30 дней.

Войдите в течение 30 дней для восстановления.

После 30 дней аккаунт и все данные удаляются безвозвратно."
settings_ext.dialog_delete_account_title,Delete Account?,Konto löschen?,¿Eliminar cuenta?,Supprimer le compte ?,ანგარიშის წაშლა?,Удалить аккаунт?
settings_ext.dialog_delete_my_account,Delete My Account,Mein Konto löschen,Eliminar mi cuenta,Supprimer mon compte,ჩემი ანგარიშის წაშლა,Удалить мой аккаунт
settings_ext.dialog_new_email_hint,New email address,Neue E-Mail-Adresse,Nueva dirección de email,Nouvelle adresse email,ახალი Email მისამართი,Новый адрес email
settings_ext.dialog_new_password_label,New password (min 8 characters),Neues Passwort (min. 8 Zeichen),Nueva contraseña (mín. 8 caracteres),Nouveau mot de passe (min. 8 caractères),ახალი პაროლი (მინ. 8 სიმბოლო),Новый пароль (мин. 8 символов)
settings_ext.dialog_reset_cache_body,All local data will be wiped and re-downloaded from the cloud. Use this to fix ghost groups or missing expenses.,Alle lokalen Daten werden gelöscht und erneut aus der Cloud heruntergeladen.,Todos los datos locales se eliminarán y se volverán a descargar desde la nube.,Toutes les données locales seront effacées et retéléchargées depuis le cloud.,ყველა ლოკალური მონაცემი წაიშლება და ახლიდან ჩამოტვირთავს ღრუბლიდან.,Все локальные данные будут удалены и загружены заново из облака.
settings_ext.dialog_reset_cache_title,Reset local cache?,Lokalen Cache zurücksetzen?,¿Restablecer caché local?,Réinitialiser le cache local ?,ლოკალური ქეშის გადატვირთვა?,Сбросить кэш?
settings_ext.dialog_reset_sync,Reset & Sync,Zurücksetzen & Synchronisieren,Restablecer y sincronizar,Réinitialiser et synchroniser,გადატვირთვა და სინქრონიზაცია,Сбросить и синхронизировать
settings_ext.dialog_send_confirm,Send confirmation,Bestätigung senden,Enviar confirmación,Envoyer la confirmation,დადასტურების გაგზავნა,Отправить подтверждение
settings_ext.dialog_set_password_title,Set Password,Passwort setzen,Establecer contraseña,Définir le mot de passe,პაროლის დაყენება,Установить пароль
settings_ext.display_name,Display Name,Anzeigename,Nombre de pantalla,Nom d'affichage,საჩვენებელი სახელი,Отображаемое имя
